Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
STM32F103C8T6,1,STMicroelectronics,STM32F103C8T6,https://octopart.com/stm32f103c8t6-stmicroelectronics-41858015,ARM Cortex-M3 STM32 F1 Microcontroller 32-Bit 72MHz 64kB FLASH LQFP48 STM32F103C8T6,,U1,,Production (Last Updated: 4 years ago),13w,Compliant,1,497-6063-ND,511-STM32F103C8T6,Tray,Tray,35.261568,35.261568,4203,4393,1,1,https://octopart.com/opatz8j6/a1?t=l6DYrURrkDEKdsMqW1dCCRl73JoNuf2XnwQyBtXygwtgxKiRbbEMDmMadO3cwaFX3N3ih8DR67PhvEpIcU7iT635hN0UQFw2EK8Wv2_DPR4XiiJZzzAFLZHvTUyTDR1fbjCWvUGrJqkkMzQweJP2dPF6uydB6DIkFLWbjzGz71ecKOoflz1HagVgC-rwOKxAaI1XrB4VWxUF03EnMJF_ozXwxkdvbYMQc4Oeshq4G3_RZI-dgH024BrpEbReY76me_dK,https://octopart.com/opatz8j6/a1?t=Rl6_u1S11fznyxMK_47H-JG1rR1UlCogQYJoZj-j9dw5S0QarIsUrnLiKK8VdT4Yn2WINkLnhaCQz4neLEAErHFt8BEWUIl4kM_4dsxx8qJp0I6WOTrUuFXmyLjY_1qBYKysesr8jNtleNtNOsP-oJZ6qvujzoIzxJ8Se3IfVosZWCqePYS7IFOC1Z3wsd9dFVjmLVtCHR0Ykha_Vel-UYIIvo7JIceufP89XiNh-40DHzQO9OvOgCR6_t4oiZM4izdtpg,Mouser,511-STM32F103C8T6,Tray,35.261568,35.261568,35.261568,4393,1,https://octopart.com/opatz8j6/a1?t=Rl6_u1S11fznyxMK_47H-JG1rR1UlCogQYJoZj-j9dw5S0QarIsUrnLiKK8VdT4Yn2WINkLnhaCQz4neLEAErHFt8BEWUIl4kM_4dsxx8qJp0I6WOTrUuFXmyLjY_1qBYKysesr8jNtleNtNOsP-oJZ6qvujzoIzxJ8Se3IfVosZWCqePYS7IFOC1Z3wsd9dFVjmLVtCHR0Ykha_Vel-UYIIvo7JIceufP89XiNh-40DHzQO9OvOgCR6_t4oiZM4izdtpg,
"TJA1051T/3,118",1,NXP Semiconductors,"TJA1051T/3,118",https://octopart.com/tja1051t%2F3%2C118-nxp+semiconductors-14414509,TJA1051 Series 3 V 1 Mbit/s Surface Mount High-Speed CAN Transceiver - SOIC-8,,U3,,,4w,Compliant,1,568-8684-1-ND,771-TJA1051T3118,Cut Tape,Tape & Reel,7.82946,7.82946,49741,113441,1,1,https://octopart.com/opatz8j6/a1?t=yT04XQzrGlm_NFzK2KIQfu6fd_lrBSu7m6hmsM4WkdLTltBIXJh8UCaCRdt9lz7Vr4ZUMddgNL_IfkbC7jmXcVpdOKUvOVwBr0DhvTr6ePj30zgn0PFwsXKMm0L8T3gurXnw1wFXEVfFWHy4nYan8jN-bH6iEIuGW3kyH6VvgUWtFucwKNOOUxB7P55RSvK0n5ZLVRzx4mSIkgNCWOIcStGsEK6o_TFpuodVnmtNgj8Ufi_pcy-COvDNXBSWkZhI8Zw1,https://octopart.com/opatz8j6/a1?t=CslgQvBO5vejX3M_DFgaRJ9T8i495r0Guy51Mncch8vDMonixPPj-MMQOBAH-d5fsikvpG55JAIPlyBzW7SAw4RwpM9Iqd7OIC3p2b5mLYjZLA61oWGSAo7ebrHWWs3A7mDyjmYE_FzPc4gZcVLQnvb4ozajQJR3vbBloz9Xwt6eBlR-O-K6WRFkkyXWzZs1-q-axbBmw_EVFPNxoTvC45M3J-i4prsctbba4SY_IXvMk9M9AnEkKEgRIjJOvDwaMl9SkQ,DigiKey,568-8684-1-ND,Cut Tape,7.82946,7.82946,7.82946,49741,1,https://octopart.com/opatz8j6/a1?t=yT04XQzrGlm_NFzK2KIQfu6fd_lrBSu7m6hmsM4WkdLTltBIXJh8UCaCRdt9lz7Vr4ZUMddgNL_IfkbC7jmXcVpdOKUvOVwBr0DhvTr6ePj30zgn0PFwsXKMm0L8T3gurXnw1wFXEVfFWHy4nYan8jN-bH6iEIuGW3kyH6VvgUWtFucwKNOOUxB7P55RSvK0n5ZLVRzx4mSIkgNCWOIcStGsEK6o_TFpuodVnmtNgj8Ufi_pcy-COvDNXBSWkZhI8Zw1,
TLV1117LV33DCYT,1,Texas Instruments,TLV1117LV33DCYT,https://octopart.com/tlv1117lv33dcyt-texas+instruments-20177212,IC REG LINEAR 3.3V 1A SOT223-4 Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223-4,,U2,,Obsolete (Last Updated: 5 days ago),27w,Compliant,1,296-TLV1117LV33DCYTCT-ND,595-TLV1117LV33DCYT,Cut Tape,Tape & Reel,6.437556000000001,6.437556000000001,3349,11237,1,1,https://octopart.com/opatz8j6/a1?t=BtKoO364dcX8YMImsoWDsW9GBYTrvRn6sDIJldNbHQtvtxjmxNctDaizsb8dyK0y7D5kQfCFX4OxLP6dxWZ2Hswynoc6pc1ew76kz-fKtONBEZb4YHueF6ETJ51pA90sEgSwrtlmcFty4gLLef92IEryOAFtNbzWIwXxa341wt9Gb92G8LjdsocxFB9ljAw7Ia5_Uh2hN2w2pRoWl2EC_nrDNaPwXQTsLNFeuR_mbHrCuHJaqr6VVuuknlwGxgYfbT1J,https://octopart.com/opatz8j6/a1?t=bSi6jDCsp09UTod9yYRY8SjspjOq4KIlVuG6YI5zvyL1Bjvi_1dX9Q7pZWgyUYkbLDVw87HydNLxTt-sGBF_0Zl2tioAfYtvS-caPapUSBfJdOP4cKh0Dug47_oGtAySlHAp-sEDelhSUJ192i2Ej_7-2Wdzs9sFHaBze0EXD6LpeNewPbeZ08OqdgyunUH3Yp5NQJXydRsl5mPOwbfBIt5LwbYXQFKDYzk42AXzqASXfyrfCZrfmUPt9hHi1Nj--EZ_,Mouser,595-TLV1117LV33DCYT,Tape & Reel,6.437556000000001,6.437556000000001,6.437556000000001,11237,1,https://octopart.com/opatz8j6/a1?t=bSi6jDCsp09UTod9yYRY8SjspjOq4KIlVuG6YI5zvyL1Bjvi_1dX9Q7pZWgyUYkbLDVw87HydNLxTt-sGBF_0Zl2tioAfYtvS-caPapUSBfJdOP4cKh0Dug47_oGtAySlHAp-sEDelhSUJ192i2Ej_7-2Wdzs9sFHaBze0EXD6LpeNewPbeZ08OqdgyunUH3Yp5NQJXydRsl5mPOwbfBIt5LwbYXQFKDYzk42AXzqASXfyrfCZrfmUPt9hHi1Nj--EZ_,
47346-0001,1,Molex,47346-0001,https://octopart.com/47346-0001-molex-7164928,"Micro-USB B Receptacle with Flange, Bottom Mount, Surface Mount, Lead-Free",,J3,,Production (Last Updated: 4 years ago),17w,Compliant,1,WM17141CT-ND,538-47346-0001,Cut Tape,Tape & Reel,5.857596,5.857596,12013,24580,1,1,https://octopart.com/opatz8j6/a1?t=2SV1PGyZyYr9u_E55sswv9NIACyrEC8jl-hxl53Ijm80EqqVwfOMjlUpdR2Vd7lcXwdqbEZBRYPTZvS3KV_0TQ8zKxtB0vbWjVyxrSgHXbvnvJ094Y7fqhPXjvVz__DmfOuPOdV4pSnahd0XBFMaxxqw1I9FQ1kTVs8bwMMZTVS82B3pnbTmLYnY40HZZ1SV7y4OqzSy5rkAO0-Ju-kctzPdEiowjObcSodxgr-MyojaTUkuJhIw6k9sIYRxv9EU-A,https://octopart.com/opatz8j6/a1?t=OdeGr1786TS1ejoCzr7Nv_IRYReghaWJwTKjvtCD6TfeibQn_YDl66HRbV6fl8_gxsf78GoP5qGt-GPeirUEHIJih_AvcIv5wGGL1LtyK3xrSTIASuqNwNTLQ_j_ITnnQgL0XhQlG-43AeJWfSw7ChFhta_qcdHh8PXyqrNtT1ZRjOtrfW0WbU04ivU9KKjiXhxTFVxv7Em743rl6CAOVb0sX0V6xg78T1umsIWHeqP7omYAlR-7ZWokoZrkk-kR2No,Mouser,538-47346-0001,Tape & Reel,5.857596,5.857596,5.857596,24580,1,https://octopart.com/opatz8j6/a1?t=OdeGr1786TS1ejoCzr7Nv_IRYReghaWJwTKjvtCD6TfeibQn_YDl66HRbV6fl8_gxsf78GoP5qGt-GPeirUEHIJih_AvcIv5wGGL1LtyK3xrSTIASuqNwNTLQ_j_ITnnQgL0XhQlG-43AeJWfSw7ChFhta_qcdHh8PXyqrNtT1ZRjOtrfW0WbU04ivU9KKjiXhxTFVxv7Em743rl6CAOVb0sX0V6xg78T1umsIWHeqP7omYAlR-7ZWokoZrkk-kR2No,
B3S-1002,1,Omron,B3S-1002,https://octopart.com/b3s-1002-omron-75254,Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 24VDC 500000Cycles 2.26N SMD Bag,,"SW1
",,,12w,Compliant,1,SW416-ND,653-B3S-1002,Bulk,,3.363768,3.1897800000000003,18432,7533,1,1,https://octopart.com/opatz8j6/a1?t=Ig2yPfllPV8P3ifPhc_vwhZFKQSjiIWW4UTyozTk2A-3Z-KBoRZ3fiePRzS9rxqQbrp_qHnA_z0FjP5mg_PuL3BD_PhfhFzfCgBlMHwRrEwvswJt3wiKfQrZOk4IJE3S_ZfaNWmV21P5AwCxgoLR1d_xQ7cNeP5OIw9xdBndKTAIwxz_q9cmXQ2M4IVuohm77j7YqF2Q2UOabaCIfEWQRCHCgX1fBmkh3XMW6K7jCv3EsPeTpaCkl5XKVQC1sgLo,https://octopart.com/opatz8j6/a1?t=5dc-fAMtU0-8ST7rVv6-MrE5J2dxBiUnh8QDgo59GB0ctevM12B4Jui6K_nVmw2QCOnndEu28zYFl2tywImIvD-jgTnjfKHMh4hK03zwybsnztKSqOSTxbRR8Co8qj-WV2X_3gjExlbLtQ1AndFmbzJje2lTQ0oEjqqxrIBJplosD43WRoRhseaV4Eb7SrLbQCzqorA_rCuow8E5H-ZVXvGGUwswVsTQdY9K-K0fHB_41ckEzW7KWtkDZ5wHsyq1,Mouser,653-B3S-1002,,3.1897800000000003,3.1897800000000003,3.1897800000000003,7533,1,https://octopart.com/opatz8j6/a1?t=5dc-fAMtU0-8ST7rVv6-MrE5J2dxBiUnh8QDgo59GB0ctevM12B4Jui6K_nVmw2QCOnndEu28zYFl2tywImIvD-jgTnjfKHMh4hK03zwybsnztKSqOSTxbRR8Co8qj-WV2X_3gjExlbLtQ1AndFmbzJje2lTQ0oEjqqxrIBJplosD43WRoRhseaV4Eb7SrLbQCzqorA_rCuow8E5H-ZVXvGGUwswVsTQdY9K-K0fHB_41ckEzW7KWtkDZ5wHsyq1,
LFXTAL030234REEL,1,IQD Frequency Products,LFXTAL030234REEL,https://octopart.com/lfxtal030234reel-iqd+frequency+products-88359198,Crystal 8MHz ±30ppm (Tol) ±30ppm (Stability) 22pF FUND 40Ohm 2-Pin HC-49/4H SMX SMD T/R,,"Y1
",,,,,1,,449-LFXTAL030234REEL,,Tape & Reel,,3.1897800000000003,,180,,1,,https://octopart.com/opatz8j6/a1?t=eZbmv3MP8bjp1sfkLGl7qiKYoeWV4mbrq96TiirRoaMFT2OKL5HgCwB69OV11dnShuTDwhdS3n4NacmGi_uGY1Jb7Y6ZyDcUvZgOvgskuUc6vm1bPEgkJ0hsR6Pa7jTaCSZ4BK4KFEInB6fhpHlvefdFRk_sj-ylwysLCl6I_3lB7_7PSufgnwTKd18JITuqhHvOKibtAfECBEr_C7VGBuPPW3nnN-PjjuQR8MTy6TaSd1BGsfu2XWxYgAQ9mra1Tt_t7ag,Mouser,449-LFXTAL030234REEL,Tape & Reel,3.1897800000000003,3.1897800000000003,3.1897800000000003,180,1,https://octopart.com/opatz8j6/a1?t=eZbmv3MP8bjp1sfkLGl7qiKYoeWV4mbrq96TiirRoaMFT2OKL5HgCwB69OV11dnShuTDwhdS3n4NacmGi_uGY1Jb7Y6ZyDcUvZgOvgskuUc6vm1bPEgkJ0hsR6Pa7jTaCSZ4BK4KFEInB6fhpHlvefdFRk_sj-ylwysLCl6I_3lB7_7PSufgnwTKd18JITuqhHvOKibtAfECBEr_C7VGBuPPW3nnN-PjjuQR8MTy6TaSd1BGsfu2XWxYgAQ9mra1Tt_t7ag,
ERA-6ARW103V,3,Panasonic,ERA-6ARW103V,https://octopart.com/era-6arw103v-panasonic-20327930,Res Thin Film 0805 10K Ohm 0.05% 0.125W ±10ppm/°C Molded SMD Punched Carrier T/R,,"R6, R1, R5",,Production (Last Updated: 4 years ago),13w,Compliant,3,P10KBSCT-ND,667-ERA-6ARW103V,Cut Tape,Tape & Reel,3.0157920000000003,3.0157920000000003,6667,21679,1,1,https://octopart.com/opatz8j6/a1?t=7xLnZ64tQef2oFFIIBMm6o7Fk4P0N6dJbK6YioNEC0NbsVP1Aff5eaosRi5aqi-wCfiFXQASDheFWwQp8SqxAIupsjj_ZEC-K3BUFkxFCO8w2CYY19zMpa-O97A-pRG_cn1k5myFb48lNSvyebtppiRL70Hjruyzaj8eLOrigt6ZJIZeJe3leJ7pWs9X68W2h61FdqoU60U5zHloiuQXq3fKAu0Pe3V2gacwqMlx7VYxHb8UexJIpi3AiBpls65D8NvV,https://octopart.com/opatz8j6/a1?t=ylMnnSuOmaKPaymrwWlIsz0dn4aFfUsnaq1cGVVizVxECD3z_njrgqjHy9W4drY5zf44DhsJGVQJoaf0lT2YphDJmm6PnmUriBvBsN_yfcRiV5Z5fDHsr8Lt7uycqUL0XMHK3ZUc1icGi6SbNk9hPtHqRMzmL2JqfiGlgTMUfgGu0igeYV-ElGSTphe3A8UPrlk6I2pqjAAGTN7nWK2fYybs8Y9xJcgmV5i4f6oQLHon1ziue2Ph3Zcc2eLq38aCUBdZkA,Mouser,667-ERA-6ARW103V,Tape & Reel,3.0157920000000003,9.047376,9.047376,21679,1,https://octopart.com/opatz8j6/a1?t=ylMnnSuOmaKPaymrwWlIsz0dn4aFfUsnaq1cGVVizVxECD3z_njrgqjHy9W4drY5zf44DhsJGVQJoaf0lT2YphDJmm6PnmUriBvBsN_yfcRiV5Z5fDHsr8Lt7uycqUL0XMHK3ZUc1icGi6SbNk9hPtHqRMzmL2JqfiGlgTMUfgGu0igeYV-ElGSTphe3A8UPrlk6I2pqjAAGTN7nWK2fYybs8Y9xJcgmV5i4f6oQLHon1ziue2Ph3Zcc2eLq38aCUBdZkA,
ERA6ARW102V,2,Panasonic,ERA6ARW102V,https://octopart.com/era6arw102v-panasonic-55412135,Res Thin Film 0805 1K Ohm 0.05% 0.125W ±10ppm/°C Molded SMD Punched Carrier T/R,,"R3, R4",,Production (Last Updated: 4 years ago),13w,Compliant,2,P1.0KBSCT-ND,667-ERA-6ARW102V,Cut Tape,Tape & Reel,3.0157920000000003,3.0157920000000003,14545,3186,1,1,https://octopart.com/opatz8j6/a1?t=ED1AfvLakGPl8oVZl6hFHyJz49sY0jg1ypDs2ANvgvUCUThfOLzYqqMi3RY8TZNOmDXPAacbAOqei-wxgGdIe8JNaXi879i5ZnaHYCCUxpj1JQTCebV-0axH-dXu2b4MvMLZrN40WiXuEVqtiFtFkPyIVzSxP76fgsiE8-1Kl2hMzDz59iLs9bTsz8eMBZl-crBJG_yAEmbqsnv1WoUSk-xl0gqW4cGs1PbIm38dxJ-UUksF-fTnlV0eNP61G4fv04AY,https://octopart.com/opatz8j6/a1?t=Q2aB_R7H5e1TwrSw-4GX1Q-lTZg4hpCs8M2XRgNKfPkB955bf436VOXTbwXVFqljxk5-SMxtD-wKo-flbnCuIbOSZWbR5ioL865oykZXudpgS1_QvKUvO8Vx5GUt246JUdG-_UYJE7HDC88Jn5T4X2EujsIqFs4pKbc4Sj08Q4ZLF0mDn2ZFAL-maMIqrPcGVUCxpnJKH6IlctF_mNMAWlHEybXX2hvdKsVgzChaBy28bhvDm3MRbq4DetPCuGG0Odc0yw,Mouser,667-ERA-6ARW102V,Tape & Reel,3.0157920000000003,6.0315840000000005,6.0315840000000005,3186,1,https://octopart.com/opatz8j6/a1?t=Q2aB_R7H5e1TwrSw-4GX1Q-lTZg4hpCs8M2XRgNKfPkB955bf436VOXTbwXVFqljxk5-SMxtD-wKo-flbnCuIbOSZWbR5ioL865oykZXudpgS1_QvKUvO8Vx5GUt246JUdG-_UYJE7HDC88Jn5T4X2EujsIqFs4pKbc4Sj08Q4ZLF0mDn2ZFAL-maMIqrPcGVUCxpnJKH6IlctF_mNMAWlHEybXX2hvdKsVgzChaBy28bhvDm3MRbq4DetPCuGG0Odc0yw,
ABS25-32.768KHZ-T,1,Abracon,ABS25-32.768KHZ-T,https://octopart.com/abs25-32.768khz-t-abracon-49221,"Crystal, Plastic Molded 32.768Khz, 12.5F, 20Ppm-40+85C, 8 X 4 X 2.5 Rohs Compliant: Yes",,Y2,,,12w,Compliant,1,535-9166-1-ND,815-ABS25-32.768KHZT,Cut Tape,Tape & Reel,2.667816,2.667816,83631,124005,1,1,https://octopart.com/opatz8j6/a1?t=NneC109RTfN47T7mTHQgRZ4eHZgkEHs8MyFXyPI-rFNTD-OFBnaMWjhnGuhcD92Jt2zkaf6q31RWQJTXQe39df4GnodCeNrPkcAx3cVYU56yAXsh7ehGEWQmlSLPr0Edew3TkEevU3VR722bV8moyzDIJLm8kz07D0IXzmQJNRw20_YLISSM7xcsD_923wfHCUbLRyjyW-vrsW5AxMwFM9pshD3tpAR8BzvItMgQwlTVZkBIVNnmtcYR6Hmo6tk,https://octopart.com/opatz8j6/a1?t=j1Qmfsz6tcYB57l-Hok9TLJTDFvm14sFCrlthfNxijiFOvveM2cMHkI5gMb3n4Bu8MiXpjPoU6E2xQ_-rzBQaqMH5EEUHRYdgbdCxf6A7mT1Chq0rolR_Mh1CSajPSV-KApho3yqe38w-EFKzSdFzQXs2K0SJHgyZOfSTBJYR3Ot1OteD9vSudUcq-TXfKRsummHMUPz90wv3Wk4WLng4S9OLSALZAiWWACdLXjkJ31deh-Bq78K_DUO-PaubVM0SA,Mouser,815-ABS25-32.768KHZT,Tape & Reel,2.667816,2.667816,2.667816,124005,1,https://octopart.com/opatz8j6/a1?t=j1Qmfsz6tcYB57l-Hok9TLJTDFvm14sFCrlthfNxijiFOvveM2cMHkI5gMb3n4Bu8MiXpjPoU6E2xQ_-rzBQaqMH5EEUHRYdgbdCxf6A7mT1Chq0rolR_Mh1CSajPSV-KApho3yqe38w-EFKzSdFzQXs2K0SJHgyZOfSTBJYR3Ot1OteD9vSudUcq-TXfKRsummHMUPz90wv3Wk4WLng4S9OLSALZAiWWACdLXjkJ31deh-Bq78K_DUO-PaubVM0SA,
